km,tarifa_pesos_tn
1137,120042.43
1138,120091.79
1139,120146.35
1140,120200.91
1141,120255.47
1142,120304.83
1143,120359.39
1144,120411.35
1145,120463.31
1146,120517.87
1147,120569.83
1148,120624.39
1149,120673.75
1150,120728.31
1151,120780.27
1152,120834.83
1153,120884.19
1154,120938.75
1155,120990.71
1156,121042.67
1157,121094.63
1158,121149.19
1159,121198.55
1160,121250.51
1161,121305.07
1162,121354.44
1163,121406.41
1164,121460.96
1165,121512.92
1166,121562.28
1167,121616.84
1168,121668.80
1169,121718.16
1170,121770.12
1171,121824.68
1172,121874.04
1173,121926.00
1174,121975.37
1175,122027.33
1176,122079.29
1177,122131.25
1178,122183.21
1179,122235.17
1180,122284.53
1181,122336.50
1182,122385.86
1183,122437.82
1184,122489.78
1185,122539.14
1186,122591.10
1187,122640.47
1188,122692.43
1189,122744.39
1190,122793.75
1191,122845.71
1192,122895.07
1193,122947.03
1194,122993.80
1195,123045.76
1196,123097.72
1197,123147.08
1198,123199.04
1199,123248.41
1200,123297.77
1201,123347.13
1202,123399.09
1203,123451.05
1204,123497.82
1205,123549.78
1206,123599.14
1207,123645.91
1208,123697.87
1209,123749.83
1210,123796.59
1211,123848.55
1212,123897.92
1213,123947.28
1214,123996.63
1215,124046.01
1216,124095.37
1217,124144.73
1218,124194.09
1219,124246.05
1220,124292.82
1221,124344.78
1222,124391.54
1223,124440.91
1224,124490.27
1225,124537.03
1226,124589.00
1227,124635.76
1228,124687.72
1229,124734.49
1230,124783.85
1231,124833.21
1232,124882.57
1233,124929.34
1234,124981.30
1235,125028.06
1236,125077.43
1237,125124.19
1238,125173.55
1239,125222.92
1240,125269.68
1241,125319.04
1242,125365.81
1243,125417.77
1244,125464.54
1245,125511.30
1246,125560.66
1247,125607.43
1248,125654.19
1249,125703.55
1250,125750.32
1251,125802.28
1252,125849.04
1253,125898.41
1254,125945.17
1255,125991.94
1256,126041.30
1257,126088.06
1258,126134.83
1259,126184.19
1260,126228.36
1261,126275.12
1262,126324.49
1263,126371.25
1264,126418.01
1265,126467.39
1266,126514.14
1267,126563.51
1268,126607.67
1269,126654.44
1270,126701.20
1271,126750.56
1272,126797.33
1273,126841.50
1274,126890.86
1275,126937.62
1276,126986.99
1277,127031.15
1278,127077.92
1279,127124.68
1280,127171.45
1281,127218.21
1282,127264.98
1283,127309.14
1284,127358.51
1285,127405.27
1286,127449.44
1287,127498.80
1288,127542.97
1289,127589.73
1290,127633.90
1291,127683.26
1292,127727.43
1293,127774.19
1294,127818.36
1295,127867.72
1296,127911.89
1297,127958.65
1298,128005.42
1299,128052.18
1300,128096.35
1301,128140.52
1302,128189.88
1303,128234.05
1304,128278.21
1305,128324.98
1306,128369.14
1307,128415.91
1308,128462.67
1309,128506.84
1310,128551.01
1311,128595.17
1312,128644.54
1313,128688.70
1314,128732.87
1315,128777.04
1316,128826.40
1317,128870.57
1318,128914.73
1319,128958.90
1320,129003.07
1321,129047.23
1322,129091.40
1323,129140.76
1324,129184.93
1325,129229.09
1326,129273.26
1327,129317.43
1328,129364.19
1329,129408.36
1330,129452.53
1331,129496.69
1332,129540.86
1333,129585.03
1334,129629.19
1335,129675.96
1336,129720.12
1337,129764.29
1338,129808.46
1339,129850.03
1340,129894.19
1341,129938.36
1342,129982.53
1343,130029.29
1344,130073.46
1345,130115.03
1346,130159.19
1347,130203.36
1348,130247.53
1349,130291.69
1350,130333.26
1351,130377.43
1352,130424.19
1353,130468.36
1354,130509.93
1355,130554.09
1356,130598.26
1357,130639.83
