codigo_indec,provincia,departamento,lon,lat,dist_km__Gran Rosario (San Lorenzo),dist_km__Bahía Blanca (Ing. White),dist_km__Quequén (Necochea),dist_km,puerto_asignado,produccion_tn,flete_usd_tn,pizarra_usd_tn,pct_flete_sobre_bruto,valor_neto_usd_tn,flete_total_usd,valor_neto_total_usd,cultivo
86126,SANTIAGO DEL ESTERO,OJO DE AGUA,-64.01527135533122,-29.30421194725303,687.6391,1238.2351,1427.4115,687.6391,Gran Rosario (San Lorenzo),17625,67.90617101273989,336.79867869846765,20.16224388859185,268.89250768572776,1196846.2640995407,4739230.447960952,Soja
86063,SANTIAGO DEL ESTERO,CHOYA,-64.7641337367808,-28.75289752741607,758.93,1309.526,1498.7024,758.93,Gran Rosario (San Lorenzo),18561,71.54041546538375,336.79867869846765,21.24129932511794,265.2582632330839,1327861.6514529877,4923458.62386927,Soja
06672,BUENOS AIRES,RAUCH,-58.94375684770266,-36.571789752434725,582.2669000000001,448.24809999999997,255.48129999999998,255.48129999999998,Quequén (Necochea),16800,37.425093941975945,336.79867869846765,11.11200735305801,299.3735847564917,628741.5782251959,5029476.2239090605,Soja
06721,BUENOS AIRES,SALLIQUELO,-63.04811328648106,-36.671725123538934,586.7531,294.6321,494.4856,294.6321,Bahía Blanca (Ing. White),63900,42.29223659197583,336.79867869846765,12.557126635832091,294.5064421064918,2702473.9182272553,18818961.650604825,Soja
06819,BUENOS AIRES,TORNQUIST,-62.29042388168122,-38.25780901510797,751.1006,69.8218,394.75309999999996,69.8218,Bahía Blanca (Ing. White),1798,16.090866184952997,336.79867869846765,4.777591838285976,320.7078125135147,28931.377400545487,576632.6468992993,Soja
06196,BUENOS AIRES,CORONEL PRINGLES,-61.26388013364304,-38.1477681090934,759.481,156.4891,257.4506,156.4891,Bahía Blanca (Ing. White),72917,26.23273282421549,336.79867869846765,7.788846715667011,310.5659458742522,1912812.179343321,22645537.075312845,Soja
06351,BUENOS AIRES,GENERAL PINTO,-62.0399911433614,-34.66945617619091,379.2695,550.7883,612.1631,379.2695,Gran Rosario (San Lorenzo),251470,50.901850526534716,336.79867869846765,15.113435338654227,285.89682817193295,12800288.351907685,71894475.38039598,Soja
06742,BUENOS AIRES,SAN CAYETANO,-59.58637207854255,-38.38871869071247,775.4089,274.5046,88.74419999999999,88.74419999999999,Quequén (Necochea),161279,18.68885469892124,336.79867869846765,5.548969126346597,318.1098239995464,3014119.796987319,51304434.30482284,Soja
06833,BUENOS AIRES,TRES ARROYOS,-60.237908117282984,-38.51146210944293,781.4544000000001,209.27020000000002,164.1513,164.1513,Quequén (Necochea),216304,27.064883956539603,336.79867869846765,8.03592343685247,309.733794741928,5854242.659335342,66996658.737858,Soja
06189,BUENOS AIRES,CORONEL DORREGO,-61.09559869190518,-38.67080875845936,844.9443,117.1036,235.3183,117.1036,Bahía Blanca (Ing. White),62686,22.136236761058225,336.79867869846765,6.572542637816156,314.6624419374094,1387632.137603696,19724929.835288446,Soja
06581,BUENOS AIRES,NECOCHEA,-59.16810082550853,-38.25453602292349,760.0668000000001,331.07370000000003,57.133,57.133,Quequén (Necochea),377109,14.528234402293734,336.79867869846765,4.313625712083245,322.27044429617393,5478727.947214588,121531084.97808586,Soja
06466,BUENOS AIRES,LEZAMA,-57.89476186021153,-35.84922566153294,492.6739,634.2850999999999,374.1606,374.1606,Quequén (Necochea),23700,50.380352722653235,336.79867869846765,14.958595715797996,286.4183259758144,1194014.3595268817,6788114.325626802,Soja
06218,BUENOS AIRES,CHASCOMUS,-57.90381763617486,-35.61883348658073,466.0024,676.1283000000001,416.0038,416.0038,Quequén (Necochea),60440,54.18912493135095,336.79867869846765,16.08947076062193,282.6095537671167,3275190.7108508516,17080921.429684535,Soja
06655,BUENOS AIRES,PUNTA INDIO,-57.39926283006308,-35.426010657906566,475.6313,720.7981,460.6737,460.6737,Quequén (Necochea),2000,57.41414560380712,336.79867869846765,17.047022222794826,279.3845330946605,114828.29120761424,558769.0661893211,Soja
38014,JUJUY,EL CARMEN,-65.10139830747367,-24.447547919845704,1135.2748000000001,1814.2423000000001,1915.1603,1135.2748000000001,Gran Rosario (San Lorenzo),2888,86.74570708478375,336.79867869846765,25.755952315491793,250.0529716136839,250521.60206085545,722152.9820203191,Soja
06126,BUENOS AIRES,CAMPANA,-58.882885784691474,-34.13829855133365,275.25079999999997,710.1788,556.158,275.25079999999997,Gran Rosario (San Lorenzo),19020,39.83147639883137,336.79867869846765,11.826494258456423,296.96720229963626,757594.6811057726,5648316.187739082,Soja
22036,CHACO,12 DE OCTUBRE,-61.475891339068674,-27.333282479745467,792.3859,1597.0698,1572.2713,792.3859,Gran Rosario (San Lorenzo),53650,73.29109289132195,336.79867869846765,21.76109869983745,263.5075858071457,3932067.1336194226,14137181.978553366,Soja
34042,FORMOSA,PILAGAS,-58.661675517321214,-25.10525179213261,990.7805999999999,1795.4643999999998,1701.7821000000001,990.7805999999999,Gran Rosario (San Lorenzo),1170,80.86491388151995,336.79867869846765,24.009866723354182,255.9337648169477,94611.94924137834,299442.5048358288,Soja
34021,FORMOSA,LAISHI,-58.56577083006012,-26.46750915795339,802.529,1607.2129,1513.5305,802.529,Gran Rosario (San Lorenzo),4168,73.78580850529282,336.79867869846765,21.907986334872913,263.0128701931748,307539.2498500605,1096237.6429651526,Soja
34056,FORMOSA,PIRANE,-59.15889028945764,-25.76686247865098,890.0266,1694.7105,1601.0281,890.0266,Gran Rosario (San Lorenzo),14846,77.19301413595352,336.79867869846765,22.91963093034092,259.6056645625141,1146007.487862366,3854105.6960950843,Soja
22063,CHACO,GENERAL GUEMES,-61.33859354217998,-25.211809136111427,1058.4046,1863.0883999999999,1769.4061000000002,1058.4046,Gran Rosario (San Lorenzo),26510,83.6739788674488,336.79867869846765,24.84391541878976,253.12469983101886,2218197.1797760674,6710335.79252031,Soja
06007,BUENOS AIRES,ADOLFO ALSINA,-63.056334306511104,-37.19614537087375,686.9734,237.364,468.5915,237.364,Bahía Blanca (Ing. White),147600,35.300829053359884,336.79867869846765,10.48128489986279,301.49784964510775,5210402.368275919,44501082.60761791,Soja
06616,BUENOS AIRES,PELLEGRINI,-63.22579608684038,-36.270929494179185,546.1708000000001,384.9049,574.0716,384.9049,Bahía Blanca (Ing. White),118600,51.479074036682334,336.79867869846765,15.28482066367339,285.3196046617853,6105418.180750525,33838905.11288774,Soja
06651,BUENOS AIRES,PUAN,-63.05668183995869,-38.074829903774955,762.4789000000001,207.9255,532.8568,207.9255,Bahía Blanca (Ing. White),3900,31.998650519273873,336.79867869846765,9.500824244005402,304.80002817919376,124794.7370251681,1188720.1098988557,Soja
74042,SAN LUIS,GOBERNADOR DUPUY,-65.80944171259097,-35.367548717256824,660.4089,736.7316,862.0806,660.4089,Gran Rosario (San Lorenzo),20700,66.89496134753317,336.79867869846765,19.86200231130465,269.90371735093447,1384725.6998939365,5587006.949164344,Soja
74007,SAN LUIS,AYACUCHO,-66.54364131398451,-32.166234717155845,767.5719,1044.9206,1170.2695,767.5719,Gran Rosario (San Lorenzo),13720,71.99505221087887,336.79867869846765,21.37628701190223,264.80362648758876,987772.1163332581,3633105.7554097176,Soja
74056,SAN LUIS,JUAN MARTIN DE PUEYRREDON,-66.50404709082754,-33.89767232271218,649.2514,883.4845,1008.8334,649.2514,Gran Rosario (San Lorenzo),14940,66.47163833319183,336.79867869846765,19.73631208710982,270.3270403652758,993086.276697886,4038685.983057221,Soja
74035,SAN LUIS,GENERAL PEDERNERA,-65.55927495784861,-33.890165960231634,561.0599,828.816,954.1649,561.0599,Gran Rosario (San Lorenzo),205700,62.93001802991095,336.79867869846765,18.684757990470484,273.8686606685567,12944704.708752682,56334783.49952211,Soja
